Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2017-2018,Trevor Ariza,SF,32,HOU,67,2269,0.412,18.0,0.29,0.22,0.052000000000000005,0.008,0.011,0.71,0.519,0.636,0.17600000000000002,0.0,0.14300000000000002,0.368,0.5920000000000001,0.953,0.029,19,0.392,0.431,2,0
2017-2018,Trevor Booker,PF,30,IND,17,269,0.464,8.7,0.833,0.369,0.31,0.083,0.071,0.16699999999999998,0.514,0.5479999999999999,0.5,0.429,0.5,0.214,0.472,1.0,0.024,2,0.14300000000000002,0.0,0,0
2017-2018,Trevor Booker,PF,30,TOT,68,1158,0.516,6.6,0.904,0.411,0.379,0.076,0.038,0.096,0.545,0.674,0.469,0.34600000000000003,0.308,0.242,0.598,1.0,0.023,7,0.273,0.222,0,0
2017-2018,Trevor Booker,PF,30,PHI,33,494,0.56,5.8,0.936,0.477,0.339,0.092,0.028,0.064,0.578,0.769,0.459,0.2,0.0,0.28600000000000003,0.78,1.0,0.028,3,0.28600000000000003,0.0,0,0
2017-2018,Trevor Booker,PF,30,BRK,18,395,0.513,5.9,0.92,0.387,0.447,0.06,0.027000000000000003,0.08,0.536,0.655,0.463,0.444,0.25,0.25,0.514,1.0,0.02,2,0.417,0.4,0,0
2017-2018,Trey Burke,PG,25,NYK,36,785,0.503,15.6,0.727,0.161,0.102,0.16899999999999998,0.294,0.273,0.556,0.726,0.41,0.462,0.5660000000000001,0.362,0.226,0.789,0.003,1,0.133,0.429,3,0
2017-2018,Trey Lyles,PF,22,DEN,73,1391,0.491,12.9,0.604,0.3,0.185,0.078,0.04,0.396,0.563,0.6970000000000001,0.392,0.535,0.409,0.381,0.642,0.988,0.08,40,0.188,0.366,3,0
2017-2018,Trey McKinney-Jones,SG,27,IND,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Tristan Thompson,C,26,CLE,53,1072,0.562,3.2,1.0,0.664,0.255,0.06,0.026,0.0,0.562,0.6729999999999999,0.35,0.28600000000000003,0.333,0.0,0.7120000000000001,0.0,0.196,40,0.0,0.0,0,0
2017-2018,Troy Daniels,SG,26,PHO,79,1622,0.403,22.2,0.203,0.049,0.03,0.054000000000000006,0.071,0.797,0.419,0.429,0.529,0.516,0.293,0.4,0.6940000000000001,0.923,0.0,0,0.231,0.5,2,0
2017-2018,Troy Williams,SF,23,TOT,21,307,0.468,10.5,0.6509999999999999,0.514,0.064,0.028,0.046,0.349,0.563,0.625,0.429,0.0,0.4,0.289,0.6,1.0,0.193,19,0.184,0.28600000000000003,0,0
2017-2018,Troy Williams,SF,23,HOU,4,17,0.222,17.8,0.444,0.222,0.0,0.111,0.111,0.556,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Troy Williams,SF,23,NYK,17,290,0.49,9.8,0.67,0.54,0.07,0.02,0.04,0.33,0.5670000000000001,0.63,0.429,0.0,0.25,0.333,0.632,1.0,0.21,19,0.212,0.28600000000000003,0,0
2017-2018,Tyler Cavanaugh,PF,23,ATL,39,518,0.441,15.8,0.414,0.27,0.079,0.033,0.033,0.586,0.556,0.585,0.417,0.6,0.6,0.36,0.6859999999999999,1.0,0.006999999999999999,1,0.326,0.379,0,0
2017-2018,Tyler Dorsey,SG,21,ATL,56,974,0.377,17.6,0.479,0.173,0.094,0.068,0.147,0.521,0.393,0.5,0.333,0.192,0.393,0.362,0.444,0.8190000000000001,0.01,3,0.146,0.31,3,0
2017-2018,Tyler Ennis,PG,23,LAL,54,683,0.42,10.7,0.75,0.384,0.192,0.063,0.112,0.25,0.476,0.57,0.395,0.14300000000000002,0.48,0.25,0.325,0.7140000000000001,0.0,0,0.14300000000000002,0.5,2,0
2017-2018,Tyler Johnson,PG,25,MIA,72,2052,0.435,16.0,0.544,0.198,0.118,0.08199999999999999,0.146,0.456,0.491,0.638,0.429,0.379,0.404,0.3670000000000001,0.532,0.95,0.031,21,0.287,0.366,1,0
2017-2018,Tyler Lydon,PF,21,DEN,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Tyler Ulis,PG,22,PHO,71,1658,0.388,15.0,0.735,0.116,0.136,0.281,0.201,0.265,0.425,0.438,0.413,0.445,0.396,0.28800000000000003,0.198,0.5,0.0,0,0.13,0.263,3,0
2017-2018,Tyler Zeller,C,28,BRK,42,703,0.546,6.0,0.8859999999999999,0.476,0.336,0.035,0.039,0.114,0.5670000000000001,0.6509999999999999,0.494,0.25,0.444,0.385,0.757,1.0,0.039,7,0.731,0.526,0,0
2017-2018,Tyler Zeller,C,28,TOT,66,1109,0.56,5.1,0.916,0.53,0.308,0.039,0.039,0.084,0.578,0.672,0.466,0.385,0.385,0.35700000000000004,0.757,1.0,0.054000000000000006,15,0.75,0.476,0,0
2017-2018,Tyler Zeller,C,28,MIL,24,406,0.59,3.4,0.981,0.648,0.248,0.048,0.038,0.019,0.602,0.706,0.385,0.6,0.25,0.0,0.758,0.0,0.086,8,1.0,0.0,0,0
2017-2018,Tyreke Evans,PG,28,MEM,52,1607,0.452,12.1,0.6459999999999999,0.412,0.121,0.01,0.104,0.354,0.482,0.544,0.35700000000000004,0.25,0.405,0.399,0.226,0.482,0.004,3,0.052000000000000005,0.267,1,0
2017-2018,Tyrone Wallace,PG,23,LAC,30,851,0.445,8.2,0.838,0.35200000000000004,0.312,0.154,0.02,0.162,0.483,0.667,0.364,0.316,0.4,0.25,0.58,1.0,0.016,4,0.55,0.364,1,0
2017-2018,Tyson Chandler,C,35,PHO,46,1151,0.647,1.0,1.0,0.93,0.053,0.005,0.011,0.0,0.647,0.672,0.2,1.0,0.5,0.0,0.669,0.0,0.412,65,0.0,0.0,0,0
2017-2018,Tyus Jones,PG,21,MIN,82,1467,0.457,14.0,0.607,0.229,0.18600000000000005,0.113,0.079,0.393,0.528,0.68,0.377,0.514,0.462,0.349,0.381,0.933,0.009000000000000001,2,0.333,0.3720000000000001,2,0
2017-2018,Udonis Haslem,C,37,MIA,14,72,0.2,19.7,0.467,0.0,0.133,0.067,0.267,0.5329999999999999,0.28600000000000003,0.0,1.0,0.0,0.0,0.125,1.0,1.0,0.067,1,0.375,0.333,0,0
2017-2018,Vander Blue,SG,25,LAL,5,45,0.2,10.4,0.6,0.6,0.0,0.0,0.0,0.4,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Victor Oladipo,SG,25,IND,75,2552,0.477,14.5,0.677,0.267,0.08199999999999999,0.095,0.231,0.32299999999999995,0.528,0.69,0.364,0.438,0.439,0.371,0.28,0.5529999999999999,0.052000000000000005,61,0.099,0.581,2,0
2017-2018,Vince Carter,SF,41,SAC,58,1026,0.403,18.2,0.417,0.17,0.092,0.042,0.113,0.583,0.483,0.583,0.308,0.583,0.438,0.345,0.474,0.982,0.039,10,0.145,0.292,2,0
2017-2018,Vince Hunter,PF,23,MEM,4,7,0.6,5.8,1.0,0.6,0.0,0.2,0.2,0.0,0.6,0.667,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Wade Baldwin,PG,21,POR,7,80,0.667,10.7,0.762,0.28600000000000003,0.238,0.19,0.048,0.238,0.625,0.833,0.8,0.25,0.0,0.8,0.0,1.0,0.048,1,0.0,0.0,0,0
2017-2018,Walt Lemon Jr.,PG,25,NOP,5,35,0.438,5.1,0.938,0.375,0.5,0.0,0.063,0.063,0.4,0.5,0.375,0.0,0.0,1.0,0.333,1.0,0.063,1,0.0,0.0,0,0
2017-2018,Wayne Ellington,SG,30,MIA,77,2041,0.407,22.0,0.173,0.077,0.026,0.017,0.053,0.8270000000000001,0.479,0.648,0.278,0.333,0.378,0.392,0.655,0.947,0.006,3,0.204,0.5,1,0
2017-2018,Wayne Selden,SG,23,MEM,35,692,0.431,15.0,0.546,0.204,0.17800000000000002,0.08900000000000001,0.07400000000000001,0.454,0.456,0.6,0.271,0.458,0.5,0.402,0.403,0.857,0.052000000000000005,13,0.18,0.318,0,0
2017-2018,Wesley Iwundu,SF,23,ORL,62,1020,0.4270000000000001,10.0,0.789,0.39,0.165,0.11,0.124,0.211,0.488,0.635,0.361,0.375,0.29600000000000004,0.196,0.56,1.0,0.055,11,0.522,0.25,0,0
2017-2018,Wesley Johnson,SF,30,LAC,74,1486,0.408,17.5,0.519,0.155,0.038,0.079,0.247,0.481,0.471,0.649,0.28600000000000003,0.379,0.418,0.339,0.7559999999999999,0.9,0.046,16,0.537,0.389,1,0
2017-2018,Wesley Matthews,SF,31,DAL,63,2131,0.406,18.4,0.423,0.096,0.118,0.106,0.103,0.5770000000000001,0.441,0.507,0.439,0.459,0.361,0.381,0.392,0.882,0.0,0,0.209,0.464,1,0
